,T_amb,t_des=1,t_des=12,t_des=24
26671,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26672,5.8,302.8749570594645,311.1574127291049,328.3571593043028
26673,6.2,299.76592303102217,308.05442893939323,325.2705485212585
26674,7.0,293.54826144536383,301.84002948125215,319.07421160486416
26675,7.4,290.4398354440962,298.72888459378476,315.96479444602494
26676,6.2,299.76592303102217,308.05442893939323,325.2705485212585
26677,5.5,305.2067386958146,313.4826950375681,330.66693994669305
26678,5.1,308.31570688576966,316.58035517497746,333.7396066082468
26679,4.7,311.42449943101224,319.674788554367,336.8040984113053
26680,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26681,5.0,309.09292858462186,317.35427143920936,334.5065012132914
26682,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26683,4.6,312.20165707241915,320.44787665382745,337.56892641007323
26684,4.1,316.08712256484364,324.3100899739316,341.3851794378632
26685,3.5,320.7487605013386,328.9373674334341,345.9470331718614
26686,1.9,333.1722761155063,341.2340753191184,358.0142690698939
26687,3.1,323.85579697024735,332.01753621854374,348.977344023474
26688,3.3,322.302359826072,330.47793135586676,347.46329302071786
26689,3.1,323.85579697024735,332.01753621854374,348.977344023474
26690,2.6,327.7385948734233,335.8622370393186,352.7526934603677
26691,2.0,332.39621406371356,340.467460648597,357.2643471832305
26692,2.3,330.0676615804271,338.1660224465339,355.01110505248255
26693,3.2,323.07909958609093,331.247854721185,348.2205958172741
26694,2.7,326.96213285226844,335.0937967762931,351.99875110023606
26695,1.5,336.2758687582791,344.297821111185,361.0081050044063
26696,1.3,337.82724802696595,345.828036961324,362.5014828048445
26697,1.3,337.82724802696595,345.828036961324,362.5014828048445
26698,0.8,341.70437061569413,349.6486134037877,366.2244644898095
26699,1.4,337.05159456182275,345.0630688692103,361.7550907347
26700,1.5,336.2758687582791,344.297821111185,361.0081050044063
26701,1.7,334.7242069310567,342.76649498310394,359.51235820720086
26702,0.8,341.70437061569413,349.6486134037877,366.2244644898095
26703,1.0,340.153757357842,348.12124599046086,364.73707592630205
26704,1.1,339.3783311301082,347.3571292190752,363.99247749838355
26705,0.8,341.70437061569413,349.6486134037877,366.2244644898095
26706,0.9,340.9291044256441,348.8850747450955,365.4810722863366
26707,0.7,342.4795576793246,350.41185987883364,366.9672504670071
26708,0.9,340.9291044256441,348.8850747450955,365.4810722863366
26709,1.5,336.2758687582791,344.297821111185,361.0081050044063
26710,1.2,338.60282745231063,346.59272330241055,363.24727908913934
26711,1.3,337.82724802696595,345.828036961324,362.5014828048445
26712,1.2,338.60282745231063,346.59272330241055,363.24727908913934
26713,1.2,338.60282745231063,346.59272330241055,363.24727908913934
26714,1.3,337.82724802696595,345.828036961324,362.5014828048445
26715,1.2,338.60282745231063,346.59272330241055,363.24727908913934
26716,1.6,335.50007231197173,343.532295789349,360.26052471804115
26717,1.7,334.7242069310567,342.76649498310394,359.51235820720086
26718,1.8,333.9482743011442,342.00042079543846,358.76360794502784
26719,2.3,330.0676615804271,338.1660224465339,355.01110505248255
26720,2.8,326.1856203846566,334.3251041166208,351.2442431320236
26721,3.6,319.97190422835536,328.1667310925986,345.1880804268201
26722,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26723,5.9,302.0976946979698,310.38194191424304,327.5862409829024
26724,6.6,296.65699077044263,304.94858939068865,322.1761821512955
26725,7.1,292.77112260065803,301.0624803122953,318.2975493202186
26726,7.6,288.8857674130756,297.172385084022,314.40734882643557
26727,7.8,287.331812610762,295.61529008350516,312.84809546128895
26728,7.8,287.331812610762,295.61529008350516,312.84809546128895
26729,8.0,285.7779834471057,294.0576164961759,311.2870594412696
26730,7.8,287.331812610762,295.61529008350516,312.84809546128895
26731,7.4,290.4398354440962,298.72888459378476,315.96479444602494
26732,6.4,298.21143783189314,306.5018576714774,323.72432342781303
26733,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26734,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26735,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26736,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26737,2.5,328.51500446609595,336.6304228076571,353.50606801707437
26738,2.8,326.1856203846566,334.3251041166208,351.2442431320236
26739,3.8,318.41808670949695,326.624760199344,343.66854067203747
26740,4.2,315.31007763627633,323.5380846419403,340.6229877185919
26741,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26742,3.4,321.52557958155364,329.70776822198644,346.7054381511084
26743,2.8,326.1856203846566,334.3251041166208,351.2442431320236
26744,2.6,327.7385948734233,335.8622370393186,352.7526934603677
26745,2.5,328.51500446609595,336.6304228076571,353.50606801707437
26746,3.2,323.07909958609093,331.247854721185,348.2205958172741
26747,3.5,320.7487605013386,328.9373674334341,345.9470331718614
26748,3.7,319.1950124165089,327.3958613120566,344.42858217386083
26749,4.2,315.31007763627633,323.5380846419403,340.6229877185919
26750,4.3,314.5330072074816,322.7658585279039,339.8602642601122
26751,3.8,318.41808670949695,326.624760199344,343.66854067203747
